word,cefr_level,source,pos,meaning_ko,meaning_en,forms,category,word_code,sense_code,synonyms
cancel,B1,LCMS_0729_0727_wordmeta,Verb,취소하다,to decide that something will not happen,"canceled,cancels,canceling",Actions & Verbs,W000000001,S000000001,"call off,abort,revoke"
half,A2,LCMS_0729_0727_wordmeta,Adverb,"절반쯤, 반만","not completely, only part of the way",halves,Grammar & Function Words,W000000003,S000000001,
half,A2,LCMS_0729_0727_wordmeta,Determiner,"절반의, 반만큼의",used before a noun to mean one of two equal parts,halves,Grammar & Function Words,W000000003,S000000002,
half,A2,LCMS_0729_0727_wordmeta,Noun,"절반, 반쪽",one of two equal parts,halves,Numbers & Time,W000000003,S000000003,
half,A2,LCMS_0729_0727_wordmeta,Adjective,가치나 양이 동등한 두 부분 중 하나로 구성됨,consisting of one of two equivalent parts in value or quantity,"half,halves",Abstract Concepts,W000000003,S000000004,
upload,B1,LCMS_0729_0727_wordmeta,Verb,"올리다, 보내다",to send a file from your computer to another computer or the internet,"uploaded,uploads,uploading",Technology & Media,W000000005,S000000001,"post,transfer,transmit"
upload,B1,LCMS_0729_0727_wordmeta,Noun,파일을 보내는 것,the act of sending a file to another computer or the internet,"uploaded,uploads,uploading",Technology & Media,W000000005,S000000002,"post,transfer,transmit"
shooting,B2,LCMS_0729_0727_wordmeta,Noun,"영화 찍기, 사진 찍기",the act of filming a movie or taking photos,shootings,Technology & Media,W000000006,S000000001,"gunfire,firing"
shooting,B2,LCMS_0729_0727_wordmeta,Noun,"총격, 사격",the act of firing a gun,shootings,Actions & Verbs,W000000006,S000000002,"gunfire,firing"
hall,Pre A1,LCMS_0729_0727_wordmeta,Noun,"넓은 방, 강당",a large room for many people,halls,Places & Transport,W000000008,S000000001,"corridor,passage"
hall,Pre A1,LCMS_0729_0727_wordmeta,Noun,"복도, 통로",a long passage inside a building,halls,Places & Transport,W000000008,S000000002,"corridor,passage"
pollution,B1,LCMS_0729_0727_wordmeta,Noun,"오염, 공해","dirty things that make air, water, or land unclean",,Environment & Ecology,W000000010,S000000001,"contamination,defilement"
salary,B1,LCMS_0729_0727_wordmeta,Noun,월급,money you get for doing work,salaries,Shopping & Money,W000000011,S000000001,"wages,pay,income"
pretend,B1,LCMS_0729_0727_wordmeta,Verb,~인 척하다,to act like something is true,"pretended,pretends,pretending",Actions & Verbs,W000000012,S000000001,"feign,make believe,playact,simulate"
pretend,B1,LCMS_0729_0727_wordmeta,Adjective,연극처럼 상상하다,imagined as in a play,"pretended,pretending,pretend,pretends",Abstract Concepts,W000000012,S000000002,make-believe
pretend,B1,LCMS_0729_0727_wordmeta,Noun,가식의 제정,the enactment of a pretense,"pretended,pretending,pretend,pretends",Abstract Concepts,W000000012,S000000003,make-believe
tea,A1,LCMS_0729_0727_wordmeta,Noun,차 (음료),a hot drink made from tea leaves,teas,Food & Drink,W000000015,S000000001,
tea,A1,LCMS_0729_0727_wordmeta,Noun,차나무,a plant whose leaves are used to make a drink,teas,Nature & Weather,W000000015,S000000002,
drunk,B1,LCMS_0729_0727_wordmeta,Adjective,술 취한,feeling bad because you drank too much alcohol,,Health & Body,W000000017,S000000001,intoxicated
pick,B1,LCMS_0729_0727_wordmeta,Noun,선택,a choice you make,"picked,picks,picking",Abstract Concepts,W000000019,S000000001,"choose,select"
pick,B1,LCMS_0729_0727_wordmeta,Noun,악기를 연주하는 작은 도구,a small tool used to play music,"picked,picks,picking",Home & Objects,W000000019,S000000002,"choose,select"
pick,B1,LCMS_0729_0727_wordmeta,Verb,고르다,to choose one from many things,"picked,picks,picking",Actions & Verbs,W000000019,S000000003,"choose,select"
pick,B1,LCMS_0729_0727_wordmeta,Verb,따다,to take fruit or flowers from a plant,"picked,picks,picking",Actions & Verbs,W000000019,S000000004,"choose,select"
pick,B1,LCMS_0729_0727_wordmeta,Verb,집어 들다,to lift something up with your hand,"picked,picks,picking",Actions & Verbs,W000000019,S000000005,"choose,select"
sake,C1,LCMS_0729_0727_wordmeta,Noun,~을 위하여,for the good or purpose of someone or something,,Abstract Concepts,W000000024,S000000001,"purpose,benefit"
sake,C1,LCMS_0729_0727_wordmeta,Noun,"이유, 목적",a reason for doing something,,Abstract Concepts,W000000024,S000000002,"purpose,benefit"
energy,A2,LCMS_0729_0727_wordmeta,Noun,"힘, 기운, 에너지",the power to do things,energies,Abstract Concepts,W000000027,S000000001,"power,strength,vigor,spirit"
investment,B2,LCMS_0729_0727_wordmeta,Noun,투자,giving money or time to get more back,investments,Shopping & Money,W000000032,S000000001,"capital,funding,stake"
require,B1,LCMS_0729_0727_wordmeta,Verb,꼭 필요하다,to need something very much,"required,requires,requiring",Abstract Concepts,W000000033,S000000001,"need,demand,call for"
require,B1,LCMS_0729_0727_wordmeta,Verb,무엇을 하라고 말하다,to tell someone they must do something,"required,requires,requiring",Actions & Verbs,W000000033,S000000002,"need,demand,call for"
scratch,B2,LCMS_0729_0727_wordmeta,Adverb,맨 처음부터,from the very beginning,scratches,Abstract Concepts,W000000034,S000000001,"graze,scrape,gash"
scratch,B2,LCMS_0729_0727_wordmeta,Noun,긁힌 자국,a mark or cut made by scratching something,scratches,Home & Objects,W000000034,S000000002,"graze,scrape,gash"
scratch,B2,LCMS_0729_0727_wordmeta,Verb,가려워 긁다,to rub your skin with your nails because it itches,scratches,Actions & Verbs,W000000034,S000000003,"graze,scrape,gash"
scratch,B2,LCMS_0729_0727_wordmeta,Verb,"긁다, 긁힌 자국을 내다",to make a mark with something sharp,scratches,Actions & Verbs,W000000034,S000000004,"graze,scrape,gash"
click,B1,LCMS_0729_0727_wordmeta,Noun,딸깍 소리,"a short, sharp sound",clicks,Abstract Concepts,W000000036,S000000001,"snap,pop"
click,B1,LCMS_0729_0727_wordmeta,Verb,누르다,to press a button on a computer,clicks,Actions & Verbs,W000000036,S000000002,"snap,pop"
click,B1,LCMS_0729_0727_wordmeta,Verb,딸깍 소리가 나다,"to make a short, sharp sound",clicks,Abstract Concepts,W000000036,S000000003,"snap,pop"
click,B1,LCMS_0729_0727_wordmeta,Interjection,딸깍! (무언가가 맞물리는 소리),a short sharp snapping sound,,Feelings & Emotions,W000000036,S000000004,
protective,C1,LCMS_0729_0727_wordmeta,Adjective,"보호하는, 방어적인",always trying to keep someone or something safe,,Abstract Concepts,W000000040,S000000001,"guarding,defensive,caring"
amusing,B1,LCMS_0729_0727_wordmeta,Adjective,"즐거운, 재미있는",making you laugh or smile,"more amusing,most amusing",Feelings & Emotions,W000000041,S000000001,"funny,entertaining,humorous,comical"
amusing,B1,LCMS_0729_0727_wordmeta,Verb,재미있는,"occupy in an agreeable, entertaining or pleasant fashion",amusing,Actions & Verbs,W000000041,S000000002,"amuse,divert,disport"
